# Design,II
# [S]_0 / M,2.000000e-04
# sigma_S / M,4.823151e-07
# seed,20240530
# note,concentrations are A/(eps*path); values may be negative where additive absorbance noise exceeds the signal near depletion
t_s,S_obs_M,A_obs_AU
0.000000,2.002174107e-04,1.245352295
30.508475,1.962561730e-04,1.220713396
61.016949,1.905176727e-04,1.185019924
91.525424,1.851684501e-04,1.151747759
122.033898,1.809920954e-04,1.125770833
152.542373,1.770833569e-04,1.101458480
183.050847,1.710304786e-04,1.063809577
213.559322,1.663222343e-04,1.034524297
244.067797,1.614264930e-04,1.004072786
274.576271,1.573892032e-04,0.978960844
305.084746,1.516167373e-04,0.943056106
335.593220,1.475171032e-04,0.917556382
366.101695,1.438274754e-04,0.894606897
396.610169,1.392576755e-04,0.866182742
427.118644,1.340886022e-04,0.834031106
457.627119,1.294201280e-04,0.804993196
488.135593,1.249472633e-04,0.777171978
518.644068,1.207045115e-04,0.750782061
549.152542,1.167852707e-04,0.726404384
579.661017,1.131989461e-04,0.704097444
610.169492,1.079794176e-04,0.671631978
640.677966,1.042185344e-04,0.648239284
671.186441,1.007568554e-04,0.626707641
701.694915,9.679286033e-05,0.602051591
732.203390,9.167519782e-05,0.570219730
762.711864,8.810280878e-05,0.547999471
793.220339,8.417194599e-05,0.523549504
823.728814,8.082477844e-05,0.502730122
854.237288,7.711376135e-05,0.479647596
884.745763,7.345879417e-05,0.456913700
915.254237,6.966996407e-05,0.433347177
945.762712,6.689400766e-05,0.416080728
976.271186,6.232145670e-05,0.387639461
1006.779661,5.891528146e-05,0.366453051
1037.288136,5.619838060e-05,0.349553927
1067.796610,5.270041000e-05,0.327796550
1098.305085,4.926878412e-05,0.306451837
1128.813559,4.696015014e-05,0.292092134
1159.322034,4.337777105e-05,0.269809736
1189.830508,4.103838359e-05,0.255258746
1220.338983,3.827915216e-05,0.238096326
1250.847458,3.590022675e-05,0.223299410
1281.355932,3.238555865e-05,0.201438175
1311.864407,3.058078211e-05,0.190212465
1342.372881,2.810457658e-05,0.174810466
1372.881356,2.666984039e-05,0.165886407
1403.389831,2.351446654e-05,0.146259982
1433.898305,2.301814245e-05,0.143172846
1464.406780,2.039237646e-05,0.126840582
1494.915254,1.802348194e-05,0.112106058
1525.423729,1.739020041e-05,0.108167047
1555.932203,1.547220242e-05,0.096237099
1586.440678,1.532430600e-05,0.095317183
1616.949153,1.180512153e-05,0.073427856
1647.457627,1.199516316e-05,0.074609915
1677.966102,1.112001455e-05,0.069166490
1708.474576,9.794727487e-06,0.060923205
1738.983051,8.247440516e-06,0.051299080
1769.491525,8.232181077e-06,0.051204166
1800.000000,6.147963354e-06,0.038240332
