# Design,I
# [S]_0 / M,1.000000e-05
# sigma_S / M,4.823151e-07
# seed,20240530
# note,concentrations are A/(eps*path); values may be negative where additive absorbance noise exceeds the signal near depletion
t_s,S_obs_M,A_obs_AU
0.000000,1.054694389e-05,0.065601991
20.408163,9.542179290e-06,0.059352355
40.816327,9.146679533e-06,0.056892347
61.224490,8.307092961e-06,0.051670118
81.632653,8.154385943e-06,0.050720281
102.040816,7.316046551e-06,0.045505810
122.448980,6.577623987e-06,0.040912821
142.857143,6.029147170e-06,0.037501295
163.265306,5.480890647e-06,0.034091140
183.673469,4.896517583e-06,0.030456339
204.081633,3.857374806e-06,0.023992871
224.489796,4.321137342e-06,0.026877474
244.897959,3.240472299e-06,0.020155738
265.306122,4.169260074e-06,0.025932798
285.714286,4.082972239e-06,0.025396087
306.122449,3.969657527e-06,0.024691270
326.530612,3.210479295e-06,0.019969181
346.938776,3.056465805e-06,0.019011217
367.346939,2.616816799e-06,0.016276600
387.755102,1.953125206e-06,0.012148439
408.163265,2.755175785e-06,0.017137193
428.571429,1.566618582e-06,0.009744368
448.979592,1.642449568e-06,0.010216036
469.387755,1.076218161e-06,0.006694077
489.795918,9.826338489e-07,0.006111983
510.204082,1.447098332e-06,0.009000952
530.612245,6.870208012e-07,0.004273269
551.020408,1.514599563e-06,0.009420809
571.428571,1.778753562e-06,0.011063847
591.836735,6.619929103e-07,0.004117596
612.244898,6.440107798e-07,0.004005747
632.653061,1.506513828e-06,0.009370516
653.061224,3.912388973e-07,0.002433506
673.469388,1.211185596e-06,0.007533574
693.877551,-7.123128496e-08,-0.000443059
714.285714,6.129669727e-07,0.003812655
734.693878,6.984803873e-07,0.004344548
755.102041,9.020323830e-07,0.005610641
775.510204,8.863621091e-07,0.005513172
795.918367,-5.299855807e-07,-0.003296510
816.326531,7.461169283e-07,0.004640847
836.734694,7.996405416e-07,0.004973764
857.142857,6.371413924e-07,0.003963019
877.551020,2.316659775e-08,0.000144096
897.959184,7.919482646e-07,0.004925918
918.367347,5.712810110e-07,0.003553368
938.775510,2.809456972e-07,0.001747482
959.183673,1.061811700e-06,0.006604469
979.591837,7.723920635e-07,0.004804279
1000.000000,-3.534819853e-07,-0.002198658
